"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","36/85","301/10856",4.01363522077872e-34,1.24824055366218e-31,8.82999748571319e-32,"1293/4313/5654/3371/1290/1291/4323/6678/1303/1281/4320/4015/1634/4060/1278/1307/2199/1462/1277/2335/960/1514/1300/1292/1513/4237/1289/7077/2244/8038/22801/54829/6696/9509/2266/4322",36
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","23/85","140/10856",9.52159241734583e-25,1.48060762089728e-22,1.04737516590804e-22,"1293/4313/5654/1290/1291/4323/1303/1281/4320/1634/1278/1307/1277/2335/960/1514/1300/1292/1513/1289/7077/6696/4322",23
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","18/85","85/10856",1.45250129512819e-21,1.12931975696216e-19,7.98875712320502e-20,"1293/3371/1290/1291/1281/4060/1278/1307/1277/2335/960/1300/1292/1289/2244/22801/6696/2266",18
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","17/85","64/10856",2.9688438062784e-22,3.07770141250861e-20,2.17715212460416e-20,"1293/4313/1290/1291/4323/1303/1281/4320/1278/1307/1277/1514/1300/1292/1513/1289/4322",17
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","15/85","76/10856",1.35773937664429e-17,8.44513892272749e-16,5.97405325723488e-16,"1293/3371/1290/1291/6678/1281/1634/4060/1278/1462/1277/2335/1292/1289/54829",15
"R-HSA-1474290","R-HSA-1474290","Collagen formation","15/85","90/10856",2.00976986630938e-16,1.04173071403703e-14,7.36915617646772e-15,"1293/1290/1291/1303/1281/4015/1278/1307/1277/1514/1300/1292/1289/9509/4322",15
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","13/85","61/10856",7.77032143696226e-16,3.45224280985038e-14,2.44210102304528e-14,"1293/1290/1291/1303/1281/4015/1278/1277/1514/1300/1292/1289/4322",13
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","12/85","67/10856",1.0067787556227e-13,3.47897992220733e-12,2.4610147359666e-12,"1293/1290/1291/1303/1281/1278/1307/1277/1300/1292/1289/9509",12
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","11/85","44/10856",2.16202631953211e-14,8.40487731718107e-13,5.9455723787133e-13,"1293/1290/1291/1303/1281/1278/1307/1277/1300/1292/1289",11
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","11/85","480/10856",0.00124329967750977,0.00991451794116763,0.00701348536031151,"3958/302/2512/1915/567/2171/718/960/1604/83716/7077",11
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","10/85","125/10856",4.30208617811617e-08,9.55677715281521e-07,6.7604211370397e-07,"3490/4313/3371/348/718/1462/2335/11167/6696/2266",10
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","10/85","462/10856",0.00316554774146266,0.020354909022035,0.014398971012372,"4170/4313/3627/6772/302/1278/6648/2335/2353/7431",10
"R-HSA-186797","R-HSA-186797","Signaling by PDGF","9/85","58/10856",5.59006117460433e-10,1.73850902530195e-08,1.22981345841295e-08,"1293/1290/6772/1291/1281/7058/1292/1289/6696",9
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","9/85","108/10856",1.49593068921154e-07,2.90771527715493e-06,2.05690469766587e-06,"3490/3371/348/718/1462/2335/11167/6696/2266",9
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","9/85","263/10856",0.000206826611423353,0.00201009612977071,0.00142193295353555,"6678/10630/7114/1278/7078/1277/2335/2244/2266",9
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","8/85","59/10856",1.61923642945637e-08,4.19652107967443e-07,2.96860012067002e-07,"3371/1290/1281/1278/1277/2335/1300/1289",8
"R-HSA-3000170","R-HSA-3000170","Syndecan interactions","7/85","27/10856",1.09791017318114e-09,3.10409148963033e-08,2.19582034636229e-08,"3371/1290/1281/1278/1277/2335/1289",7
"R-HSA-2173782","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","7/85","42/10856",3.03435253506736e-08,7.259104910815e-07,5.13505813626785e-07,"6678/1281/2512/1278/348/1277/4035",7
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","7/85","108/10856",2.06917758519086e-05,0.000279788795214938,0.000197921334235647,"4170/4313/6772/1278/2335/2353/7431",7
"R-HSA-8874081","R-HSA-8874081","MET activates PTK2 signaling","6/85","30/10856",9.84358983780325e-08,2.04090429303787e-06,1.44372650954448e-06,"1290/1281/1278/1277/2335/1289",6
"R-HSA-1592389","R-HSA-1592389","Activation of Matrix Metalloproteinases","6/85","33/10856",1.80200529047308e-07,3.29660967845369e-06,2.33200684649457e-06,"4313/4323/4320/1513/7077/4322",6
"R-HSA-8875878","R-HSA-8875878","MET promotes cell motility","6/85","41/10856",6.95878844167691e-07,1.13904379229554e-05,8.05754451141537e-06,"1290/1281/1278/1277/2335/1289",6
"R-HSA-419037","R-HSA-419037","NCAM1 interactions","6/85","42/10856",8.06801397303865e-07,1.25457617280751e-05,8.87481537034251e-06,"1293/1290/1291/1281/1292/1289",6
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth","6/85","63/10856",9.16567518001308e-06,0.000135739284808765,9.60213590287084e-05,"1293/1290/1291/1281/1292/1289",6
"R-HSA-6806834","R-HSA-6806834","Signaling by MET","6/85","79/10856",3.39349577300913e-05,0.000405914302079168,0.000287141950023849,"1290/1281/1278/1277/2335/1289",6
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","6/85","129/10856",0.000508735635199226,0.00452047950134169,0.0031977668498237,"6678/7114/7078/2335/2244/2266",6
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","6/85","132/10856",0.00057475900241318,0.00496527915973608,0.00351241612585832,"1281/567/1278/718/1277/2214",6
